EMPRESA;COD MOVIL;TIPO MOVIL;EVENTO;FALLA REPORTADA;DESCRIPCION CAUSA;ESTADO;INICIO EVENTO;LLEGADA EVENTO;ASIGNADA;ACEPTADA;EN RUTA;ARRIBO;LIBERADA;REPROMESA;PROMESA(min);REPROMESA(min);T.ASIGNACION(min);T.ARRIBO(min);CUMPL.PROMESA;CUMPL.LEGAL;CUMPL.TIEMPO
LEONOR SOTO LTDA.;V3602;SERVICIO DE EMERGENCIA RED;B1825593;5D0289 - Domicilio sin Corriente;Falla de artefacto electrico;Cerrado;27-09-2014 18:51;27-09-2014 19:20;27-09-2014 18:59;27-09-2014 19:00;27-09-2014 19:03;27-09-2014 19:14;27-09-2014 19:41;;120;;8;22;Si;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1825594;5D0289 - Domicilio sin Corriente;Reposicion fuera de plazo;Cerrado;27-09-2014 18:50;27-09-2014 19:54;27-09-2014 18:56;27-09-2014 18:58;27-09-2014 19:40;27-09-2014 19:54;27-09-2014 20:21;;120;;6;63;Si;Si;No
LEONOR SOTO LTDA.;V5541;SERVICIO DE EMERGENCIA RED;B1825595;5I0189 - Industria o Edificio sin Corriente;Reposicion fuera de plazo;Cerrado;27-09-2014 18:53;27-09-2014 19:11;27-09-2014 18:56;27-09-2014 18:57;27-09-2014 18:59;27-09-2014 19:11;27-09-2014 19:44;;120;;3;17;Si;Si;No
LEONOR SOTO LTDA.;V3616;DOMICILIARIA EMERGENCIA;B1825596;3L0226 - L¡nea o Acometida Destemplada;Volantines;Cerrado;27-09-2014 18:59;27-09-2014 19:10;27-09-2014 18:59;27-09-2014 19:00;27-09-2014 19:01;27-09-2014 19:10;27-09-2014 19:47;;120;;0;10;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1825597;5D0289 - Domicilio sin Corriente;Otros corte y reposicion;Cerrado;27-09-2014 19:05;27-09-2014 19:56;27-09-2014 19:06;27-09-2014 19:07;27-09-2014 19:15;27-09-2014 19:56;27-09-2014 20:56;;120;;0;50;Si;Si;No
CAM;V4033;DOMICILIARIA EMERGENCIA;B1825598;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;27-09-2014 19:03;27-09-2014 20:58;27-09-2014 19:10;27-09-2014 19:21;27-09-2014 19:27;27-09-2014 20:58;27-09-2014 21:18;;120;;6;114;Si;Si;No
LEONOR SOTO LTDA.;V5540;SERVICIO DE EMERGENCIA RED;B1825599;5D0289 - Domicilio sin Corriente;Mantenimiento preventivo;Cerrado;27-09-2014 19:06;27-09-2014 19:21;27-09-2014 19:09;27-09-2014 19:11;27-09-2014 19:11;27-09-2014 19:21;27-09-2014 19:48;;120;;3;14;Si;Si;No
CAM;V4034;DOMICILIARIA EMERGENCIA;B1825600; - ;Falta de mantenimiento;Cerrado;27-09-2014 19:09;27-09-2014 19:14;27-09-2014 19:09;27-09-2014 19:11;27-09-2014 19:12;27-09-2014 19:14;27-09-2014 19:33;;;;0;5;No;Si;No
LEONOR SOTO LTDA.;V5541;SERVICIO DE EMERGENCIA RED;B1825601;5A0117 - Acometidas en Corto Circuito / medidor e;Mantenimiento preventivo;Cerrado;27-09-2014 19:11;27-09-2014 20:00;27-09-2014 19:44;27-09-2014 19:46;27-09-2014 19:48;27-09-2014 20:00;27-09-2014 20:22;;100;;32;48;Si;Si;No
CAM;V4608;DOMICILIARIA EMERGENCIA;B1825602;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 19:13;27-09-2014 20:47;27-09-2014 20:03;27-09-2014 20:07;27-09-2014 20:07;27-09-2014 20:47;27-09-2014 20:57;;120;;49;93;Si;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1825604;5D0288 - Domicilio  servicio  cortado ;Reposicion fuera de plazo;Cerrado;27-09-2014 19:18;27-09-2014 20:36;27-09-2014 20:00;27-09-2014 20:18;27-09-2014 20:21;27-09-2014 20:36;27-09-2014 20:51;;720;;41;77;Si;Si;No
LEONOR SOTO LTDA.;V5541;SERVICIO DE EMERGENCIA RED;B1825605;3S0389 - Sector sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 19:23;27-09-2014 20:27;27-09-2014 19:44;27-09-2014 19:46;27-09-2014 20:16;27-09-2014 20:27;27-09-2014 21:11;;120;;21;63;Si;Si;No
Leonor Soto;V5562;DOMICILIARIA EMERGENCIA;B1825606;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;27-09-2014 19:24;27-09-2014 19:50;27-09-2014 19:26;;;;27-09-2014 20:08;;120;;1;1;Si;Si;No
CAM;V4034;DOMICILIARIA EMERGENCIA;B1825607; - ;Falta de mantenimiento;Cerrado;27-09-2014 19:26;27-09-2014 20:44;27-09-2014 19:27;27-09-2014 20:21;27-09-2014 20:44;27-09-2014 20:44;27-09-2014 20:56;;;;1;78;No;Si;No
ELS SA;V5542;SERVICIO DE EMERGENCIA RED;B1825608;3P1611 - Postes Chocados;Choque de vehiculo a poste;Cerrado;27-09-2014 19:29;27-09-2014 19:55;27-09-2014 19:42;27-09-2014 19:44;27-09-2014 19:55;27-09-2014 20:10;27-09-2014 21:08;;45;;12;25;Si;Si;No
ELS SA;V3615;DOMICILIARIA EMERGENCIA;B1825609;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;27-09-2014 19:30;27-09-2014 20:22;27-09-2014 19:30;27-09-2014 20:21;27-09-2014 20:22;27-09-2014 20:22;27-09-2014 20:38;;100;;0;51;Si;Si;No
ELS;V3621;DOMICILIARIA EMERGENCIA;B1825610;3L0216 - L¡neas cortadas;Vehiculo >4.50 m. de altura bota empalme;Cerrado;27-09-2014 19:30;27-09-2014 19:44;27-09-2014 19:31;27-09-2014 19:31;27-09-2014 19:34;27-09-2014 19:44;27-09-2014 20:03;;45;;0;13;Si;Si;No
Leonor Soto;V5533;SERVICIO DE EMERGENCIA RED;B1825611;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 19:30;27-09-2014 20:35;27-09-2014 19:42;27-09-2014 19:44;27-09-2014 19:44;27-09-2014 20:38;27-09-2014 21:12;;120;;12;64;Si;Si;No
Leonor Soto;V5533;SERVICIO DE EMERGENCIA RED;B1825612;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;27-09-2014 19:33;27-09-2014 19:57;27-09-2014 19:42;27-09-2014 19:44;27-09-2014 19:45;27-09-2014 20:04;27-09-2014 20:23;;100;;9;23;Si;Si;No
LEONOR SOTO LTDA.;V3602;SERVICIO DE EMERGENCIA RED;B1825613;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 19:40;27-09-2014 20:41;27-09-2014 19:41;27-09-2014 19:43;27-09-2014 19:43;27-09-2014 20:18;27-09-2014 21:34;;120;;1;37;Si;Si;No
CAM;V4037;DOMICILIARIA EMERGENCIA;B1825615;5D0289 - Domicilio sin Corriente;Corte de suministro errado o improcedent;Cerrado;27-09-2014 19:47;27-09-2014 20:32;27-09-2014 20:05;27-09-2014 20:07;27-09-2014 20:14;27-09-2014 20:32;27-09-2014 20:57;;120;;18;44;Si;Si;No
LEONOR SOTO LTDA.;V3602;SERVICIO DE EMERGENCIA RED;B1825616;5D0289 - Domicilio sin Corriente;Falla de artefacto electrico;Cerrado;27-09-2014 19:48;27-09-2014 20:40;27-09-2014 19:53;27-09-2014 19:54;27-09-2014 20:41;27-09-2014 21:02;27-09-2014 21:28;;120;;4;51;Si;Si;No
CAM;V4608;DOMICILIARIA EMERGENCIA;B1825617;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;27-09-2014 19:47;27-09-2014 21:13;27-09-2014 20:06;27-09-2014 20:07;27-09-2014 20:55;27-09-2014 21:13;27-09-2014 21:39;;120;;18;85;Si;Si;No
LEONOR SOTO LTDA.;V5563;DOMICILIARIA EMERGENCIA;B1825618;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 19:53;27-09-2014 20:46;27-09-2014 20:32;27-09-2014 20:33;27-09-2014 20:35;27-09-2014 20:46;27-09-2014 21:17;;120;;38;52;Si;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1825619;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;27-09-2014 19:56;27-09-2014 21:01;27-09-2014 20:03;27-09-2014 20:04;27-09-2014 20:24;27-09-2014 21:01;27-09-2014 21:22;;120;;7;64;Si;Si;No
LEONOR SOTO LTDA.;V5563;DOMICILIARIA EMERGENCIA;B1825620;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 20:02;27-09-2014 21:10;27-09-2014 20:32;27-09-2014 20:33;27-09-2014 21:03;27-09-2014 21:20;27-09-2014 21:57;;120;;29;67;Si;Si;No
ELS;V3621;DOMICILIARIA EMERGENCIA;B1825621;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;27-09-2014 20:00;27-09-2014 20:37;27-09-2014 20:09;27-09-2014 20:10;27-09-2014 20:12;27-09-2014 20:37;27-09-2014 20:58;;120;;8;36;Si;Si;No
ELS;V5566;DOMICILIARIA EMERGENCIA;B1825623;5D0288 - Domicilio  servicio  cortado ;Otros corte y reposicion;Cerrado;27-09-2014 20:05;27-09-2014 20:56;27-09-2014 20:06;27-09-2014 20:13;27-09-2014 20:26;27-09-2014 20:56;27-09-2014 21:24;;720;;0;50;Si;Si;No
CAM;V4034;DOMICILIARIA EMERGENCIA;B1825625;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;27-09-2014 20:07;27-09-2014 21:35;27-09-2014 20:14;27-09-2014 20:21;27-09-2014 20:51;;27-09-2014 21:24;;100;;7;7;Si;Si;No
LEONOR SOTO LTDA.;V5540;SERVICIO DE EMERGENCIA RED;B1825626;5D0288 - Domicilio  servicio  cortado ;Otros corte y reposicion;Cerrado;27-09-2014 20:10;27-09-2014 20:30;27-09-2014 20:11;27-09-2014 20:13;27-09-2014 20:17;27-09-2014 20:30;27-09-2014 21:11;;720;;1;19;Si;Si;No
CAM;V4034;DOMICILIARIA EMERGENCIA;B1825627;5I0189 - Industria o Edificio sin Corriente;Mantenimiento preventivo;Cerrado;27-09-2014 20:12;27-09-2014 22:00;27-09-2014 20:14;27-09-2014 20:21;27-09-2014 21:35;27-09-2014 22:00;27-09-2014 22:19;;120;;1;107;Si;Si;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1825629;5D0289 - Domicilio sin Corriente;Falla de artefacto electrico;Cerrado;27-09-2014 20:15;27-09-2014 20:39;27-09-2014 20:33;27-09-2014 20:34;27-09-2014 20:34;27-09-2014 20:39;27-09-2014 21:21;;120;;18;23;Si;Si;No
CAM;V4037;DOMICILIARIA EMERGENCIA;B1825630;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;27-09-2014 20:15;27-09-2014 21:01;27-09-2014 20:22;27-09-2014 20:23;27-09-2014 20:52;27-09-2014 21:01;27-09-2014 21:27;;100;;6;45;Si;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1825631;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;27-09-2014 20:18;27-09-2014 21:25;27-09-2014 20:22;27-09-2014 20:23;27-09-2014 21:07;27-09-2014 21:25;27-09-2014 21:37;;120;;3;66;Si;Si;No
LEONOR SOTO LTDA.;V5534;SERVICIO DE EMERGENCIA RED;B1825632;3S0389 - Sector sin Corriente;Envejecimiento de materiales;Cerrado;27-09-2014 20:23;27-09-2014 21:00;27-09-2014 20:27;27-09-2014 20:28;27-09-2014 20:28;27-09-2014 20:42;27-09-2014 22:21;;120;;4;18;Si;Si;No
ELS;V3624;SERVICIO DE EMERGENCIA RED;B1825633;3L0226 - L¡nea o Acometida Destemplada;Cable de comunicaciones a baja altura;Cerrado;27-09-2014 20:27;27-09-2014 20:38;27-09-2014 20:27;27-09-2014 20:28;27-09-2014 20:29;27-09-2014 20:38;27-09-2014 20:44;;120;;0;10;Si;Si;No
CAM;V4608;DOMICILIARIA EMERGENCIA;B1825634;5D0288 - Domicilio  servicio  cortado ;Reposicion fuera de plazo;Cerrado;27-09-2014 20:27;27-09-2014 21:49;27-09-2014 20:58;27-09-2014 20:59;27-09-2014 21:39;27-09-2014 21:49;27-09-2014 22:19;;720;;31;81;Si;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1825635;5D0289 - Domicilio sin Corriente;Origen no determinado;Cerrado;27-09-2014 20:29;27-09-2014 22:10;27-09-2014 20:49;27-09-2014 20:51;27-09-2014 20:56;27-09-2014 22:10;27-09-2014 22:20;;120;;19;100;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1825638;5D0288 - Domicilio  servicio  cortado ;Otros corte y reposicion;Cerrado;27-09-2014 20:45;27-09-2014 20:57;27-09-2014 20:54;27-09-2014 20:56;27-09-2014 20:57;27-09-2014 20:57;27-09-2014 21:22;;720;;9;11;Si;Si;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1825639;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 20:48;27-09-2014 21:35;27-09-2014 20:50;27-09-2014 20:52;27-09-2014 20:53;27-09-2014 21:34;27-09-2014 21:44;;120;;2;45;Si;Si;No
Leonor Soto;V5533;SERVICIO DE EMERGENCIA RED;B1825640;3S0389 - Sector sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 20:52;27-09-2014 21:15;27-09-2014 20:52;27-09-2014 21:02;27-09-2014 21:05;27-09-2014 21:13;27-09-2014 22:18;;120;;0;20;Si;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1825641;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 20:54;27-09-2014 21:30;27-09-2014 20:58;27-09-2014 20:59;27-09-2014 21:23;27-09-2014 21:30;27-09-2014 22:10;;120;;3;35;Si;Si;No
CAM;V4656;SERVICIO DE EMERGENCIA RED;B1825642;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;27-09-2014 20:58;27-09-2014 22:20;27-09-2014 22:06;27-09-2014 22:21;;;27-09-2014 23:37;;100;;68;68;Si;Si;No
ELS;V3624;SERVICIO DE EMERGENCIA RED;B1825643;3S0389 - Sector sin Corriente;Falla de material;Cerrado;27-09-2014 20:59;27-09-2014 21:28;27-09-2014 21:02;27-09-2014 21:02;27-09-2014 21:16;27-09-2014 21:28;27-09-2014 21:48;;120;;3;29;Si;Si;No
LEONOR SOTO LTDA.;V5563;DOMICILIARIA EMERGENCIA;B1825647;5D0288 - Domicilio  servicio  cortado ;Falta de mantenimiento;Cerrado;27-09-2014 21:07;27-09-2014 22:00;27-09-2014 21:19;27-09-2014 21:40;27-09-2014 21:43;27-09-2014 22:00;27-09-2014 22:15;;720;;12;52;Si;Si;No
ELS;V5566;DOMICILIARIA EMERGENCIA;B1825649;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;27-09-2014 21:09;27-09-2014 21:36;27-09-2014 21:09;27-09-2014 21:11;27-09-2014 21:13;27-09-2014 21:36;27-09-2014 22:17;;120;;0;26;Si;Si;No
ELS SA;V3615;DOMICILIARIA EMERGENCIA;B1825652;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;27-09-2014 21:15;27-09-2014 21:47;27-09-2014 21:18;27-09-2014 21:20;27-09-2014 21:44;27-09-2014 21:47;27-09-2014 22:10;;100;;3;31;Si;Si;No
CAM;V4656;SERVICIO DE EMERGENCIA RED;B1825653;3L0226 - L¡nea o Acometida Destemplada;Vehiculo >4.50 m. de altura bota cable d;Cerrado;27-09-2014 21:18;27-09-2014 22:50;27-09-2014 22:07;27-09-2014 22:21;;;27-09-2014 23:35;;120;;49;49;Si;Si;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1825654;5D0289 - Domicilio sin Corriente;Falla de artefacto electrico;Cerrado;27-09-2014 21:21;27-09-2014 21:41;27-09-2014 21:26;27-09-2014 21:28;27-09-2014 21:35;27-09-2014 21:41;27-09-2014 22:21;;120;;5;19;Si;Si;No
LEONOR SOTO LTDA.;V5534;SERVICIO DE EMERGENCIA RED;B1825655;3S0389 - Sector sin Corriente;Envejecimiento de materiales;Cerrado;27-09-2014 21:20;27-09-2014 23:25;27-09-2014 22:26;27-09-2014 22:27;27-09-2014 23:08;27-09-2014 23:25;27-09-2014 23:46;;120;;66;125;No;No;No
ELS;V3621;DOMICILIARIA EMERGENCIA;B1825656;5D0249 - Domicilio  intermitente ;Falta de mantenimiento;Cerrado;27-09-2014 21:27;27-09-2014 21:54;27-09-2014 21:28;27-09-2014 21:28;27-09-2014 21:35;27-09-2014 21:54;27-09-2014 22:11;;120;;1;26;Si;Si;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1825657;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 21:29;28-09-2014 0:01;27-09-2014 22:29;27-09-2014 22:36;28-09-2014 0:11;28-09-2014 0:14;28-09-2014 0:23;;120;;60;152;No;No;No
ELS SA;V5536;SERVICIO DE EMERGENCIA RED;B1825658;5D0289 - Domicilio sin Corriente;Mantenimiento preventivo;Cerrado;27-09-2014 21:29;27-09-2014 21:50;27-09-2014 21:30;27-09-2014 21:31;27-09-2014 21:31;27-09-2014 22:58;27-09-2014 23:10;;120;;0;20;Si;Si;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1825659;5D0289 - Domicilio sin Corriente;Origen no determinado;Cerrado;27-09-2014 21:31;28-09-2014 0:26;27-09-2014 22:30;27-09-2014 22:36;28-09-2014 0:24;28-09-2014 0:26;28-09-2014 0:30;;120;;59;175;No;No;No
LEONOR SOTO;V3640;SERVICIO DE EMERGENCIA RED;B1825660;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;27-09-2014 21:33;27-09-2014 22:37;27-09-2014 22:09;27-09-2014 22:11;27-09-2014 22:11;27-09-2014 22:37;27-09-2014 23:42;;120;;36;64;Si;Si;No
ELS s.a.;V5542;SERVICIO DE EMERGENCIA RED;B1825661;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Envejecimiento de materiales;Cerrado;27-09-2014 21:34;28-09-2014 0:14;27-09-2014 22:24;27-09-2014 22:28;27-09-2014 23:35;27-09-2014 23:53;28-09-2014 0:20;;100;;50;139;No;No;No
LEONOR SOTO;V3640;SERVICIO DE EMERGENCIA RED;B1825662;5A0117 - Acometidas en Corto Circuito / medidor e;Envejecimiento de materiales;Cerrado;27-09-2014 21:35;27-09-2014 22:55;27-09-2014 22:09;27-09-2014 22:11;27-09-2014 22:52;27-09-2014 22:55;27-09-2014 23:27;;100;;34;79;Si;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1825663;5D0289 - Domicilio sin Corriente;Origen no determinado;Cerrado;27-09-2014 21:32;28-09-2014 0:49;28-09-2014 0:11;28-09-2014 0:13;28-09-2014 0:13;28-09-2014 0:49;28-09-2014 0:54;;120;;159;197;No;No;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1825665;6C0905 - C mara o camarilla abierta;Origen no determinado;Cerrado;27-09-2014 21:42;27-09-2014 22:05;27-09-2014 21:46;27-09-2014 22:18;;;27-09-2014 22:28;;100;;3;3;Si;Si;No
LEONOR SOTO;V3640;SERVICIO DE EMERGENCIA RED;B1825666;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;27-09-2014 21:46;27-09-2014 23:25;27-09-2014 22:45;27-09-2014 22:53;27-09-2014 23:17;27-09-2014 23:28;27-09-2014 23:40;;100;;59;99;Si;Si;No
LEONOR SOTO LTDA.;V5534;SERVICIO DE EMERGENCIA RED;B1825668;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Envejecimiento de materiales;Cerrado;27-09-2014 21:39;27-09-2014 22:54;27-09-2014 22:26;27-09-2014 22:28;27-09-2014 22:35;27-09-2014 22:54;27-09-2014 23:32;;100;;47;75;Si;Si;No
LEONOR SOTO;V3640;SERVICIO DE EMERGENCIA RED;B1825670;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Volantines;Cerrado;27-09-2014 21:54;27-09-2014 23:43;27-09-2014 22:45;27-09-2014 22:53;27-09-2014 23:41;27-09-2014 23:43;28-09-2014 0:14;;100;;51;109;No;Si;No
SCALUX;V3656;SERVICIO DE EMERGENCIA RED;B1825671;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;27-09-2014 22:07;27-09-2014 23:06;27-09-2014 22:24;27-09-2014 22:32;27-09-2014 22:43;27-09-2014 23:06;27-09-2014 23:23;;100;;17;58;Si;Si;No
ELS s.a.;V5542;SERVICIO DE EMERGENCIA RED;B1825673;3S0389 - Sector sin Corriente;Falla de material;Cerrado;27-09-2014 22:13;27-09-2014 23:28;27-09-2014 22:24;27-09-2014 22:28;27-09-2014 22:55;27-09-2014 23:28;27-09-2014 23:39;;120;;11;75;Si;Si;No
LEONOR SOTO LTDA.;V5534;SERVICIO DE EMERGENCIA RED;B1825674;5A0117 - Acometidas en Corto Circuito / medidor e;Envejecimiento de materiales;Cerrado;27-09-2014 22:18;27-09-2014 23:56;27-09-2014 22:26;27-09-2014 22:30;27-09-2014 23:41;27-09-2014 23:56;28-09-2014 0:22;;100;;8;97;Si;Si;No
SCALUX;V3656;SERVICIO DE EMERGENCIA RED;B1825675;5D0288 - Domicilio  servicio  cortado ;Reposicion fuera de plazo;Cerrado;27-09-2014 22:32;27-09-2014 23:45;27-09-2014 22:52;27-09-2014 22:55;27-09-2014 23:14;27-09-2014 23:45;28-09-2014 0:00;;720;;20;73;Si;Si;No
CAM;V4656;SERVICIO DE EMERGENCIA RED;B1825676;5A0116 - Acometidas Cortadas;;Anulado;27-09-2014 22:34;;27-09-2014 22:36;;;;27-09-2014 23:36;;45;;1;; ; ; 
ELS s.a.;V5542;SERVICIO DE EMERGENCIA RED;B1825677;5D0289 - Domicilio sin Corriente;Corte de suministro errado o improcedent;Cerrado;27-09-2014 22:39;28-09-2014 1:00;27-09-2014 22:44;27-09-2014 22:45;27-09-2014 23:56;28-09-2014 0:26;28-09-2014 1:32;;120;;5;107;Si;Si;No
SCALUX;V3656;SERVICIO DE EMERGENCIA RED;B1825678;3P1648 - Poste inclinado, socavado, estructura a ;Otros mantenimiento;Cerrado;27-09-2014 22:41;28-09-2014 1:15;28-09-2014 0:01;28-09-2014 0:16;28-09-2014 1:14;28-09-2014 1:15;28-09-2014 1:43;;100;;80;154;No;No;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1825679;5D0289 - Domicilio sin Corriente;Origen no determinado;Cerrado;27-09-2014 22:46;27-09-2014 23:18;27-09-2014 22:52;27-09-2014 22:53;27-09-2014 23:00;27-09-2014 23:18;27-09-2014 23:28;;120;;6;31;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1825680;5A0116 - Acometidas Cortadas;Vehiculo >4.50 m. de altura bota empalme;Cerrado;27-09-2014 22:52;27-09-2014 23:45;27-09-2014 23:21;27-09-2014 23:23;27-09-2014 23:27;27-09-2014 23:48;28-09-2014 0:19;;45;;29;53;No;Si;No
LEONOR SOTO LTDA.;V5534;SERVICIO DE EMERGENCIA RED;B1825681;5A0117 - Acometidas en Corto Circuito / medidor e;Envejecimiento de materiales;Cerrado;27-09-2014 23:01;28-09-2014 0:52;27-09-2014 23:10;27-09-2014 23:12;28-09-2014 0:07;28-09-2014 0:52;28-09-2014 1:12;;100;;9;111;No;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1825682;5D0289 - Domicilio sin Corriente;Origen no determinado;Cerrado;27-09-2014 23:02;27-09-2014 23:40;27-09-2014 23:25;27-09-2014 23:45;28-09-2014 0:04;28-09-2014 0:05;28-09-2014 0:13;;120;;23;38;Si;Si;No
CAM;V4656;SERVICIO DE EMERGENCIA RED;B1825683;5P2592 - Protecci¢n de empalme suelto, trabado;Otros instalacion de cliente;Cerrado;27-09-2014 23:18;27-09-2014 23:52;27-09-2014 23:38;27-09-2014 23:40;27-09-2014 23:46;27-09-2014 23:52;28-09-2014 0:18;;120;;20;33;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1825684;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;27-09-2014 23:18;28-09-2014 0:26;27-09-2014 23:39;27-09-2014 23:41;28-09-2014 0:13;28-09-2014 0:26;28-09-2014 0:46;;120;;21;67;Si;Si;No
SCALUX;V3656;SERVICIO DE EMERGENCIA RED;B1825685;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;27-09-2014 23:20;28-09-2014 0:34;27-09-2014 23:41;27-09-2014 23:42;28-09-2014 0:12;28-09-2014 0:34;28-09-2014 0:46;;120;;21;73;Si;Si;No
LEONOR SOTO LTDA.;V5534;SERVICIO DE EMERGENCIA RED;B1825689;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;28-09-2014 0:06;28-09-2014 0:26;28-09-2014 0:16;28-09-2014 0:18;28-09-2014 0:20;28-09-2014 0:26;28-09-2014 0:59;;120;;10;20;Si;Si;No
LEONOR SOTO;V3640;SERVICIO DE EMERGENCIA RED;B1825690;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;28-09-2014 0:09;28-09-2014 0:30;28-09-2014 0:12;28-09-2014 0:14;28-09-2014 0:14;28-09-2014 0:43;28-09-2014 0:52;;100;;3;20;Si;Si;No
ELS s.a.;V5542;SERVICIO DE EMERGENCIA RED;B1825691;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;28-09-2014 0:12;28-09-2014 0:45;28-09-2014 0:20;28-09-2014 0:21;28-09-2014 0:23;28-09-2014 1:07;28-09-2014 1:18;;120;;8;33;Si;Si;No
CAM;V4656;SERVICIO DE EMERGENCIA RED;B1825692;3L0216 - L¡neas cortadas;Vehiculo >4.50 m. de altura bota empalme;Cerrado;28-09-2014 0:12;28-09-2014 0:50;28-09-2014 0:18;28-09-2014 0:20;28-09-2014 0:30;28-09-2014 0:50;28-09-2014 1:42;;45;;6;38;Si;Si;No
ELS s.a.;V5542;SERVICIO DE EMERGENCIA RED;B1825693;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;28-09-2014 0:32;28-09-2014 0:45;28-09-2014 0:33;28-09-2014 0:34;28-09-2014 1:24;28-09-2014 1:24;28-09-2014 1:26;;120;;1;13;Si;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1825694; - ;Operacion (maniobra) media tension;Cerrado;28-09-2014 1:21;28-09-2014 3:07;28-09-2014 1:21;28-09-2014 1:23;28-09-2014 3:07;28-09-2014 3:07;28-09-2014 3:51;;;;0;106;No;Si;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1825695; - ;Operacion (maniobra) media tension;Cerrado;28-09-2014 1:23;28-09-2014 2:21;28-09-2014 1:24;28-09-2014 1:25;28-09-2014 1:25;28-09-2014 2:21;28-09-2014 3:50;;;;1;58;No;Si;No
LEONOR SOTO LTDA.;V5534;SERVICIO DE EMERGENCIA RED;B1825696;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;28-09-2014 1:26;28-09-2014 1:45;28-09-2014 1:29;28-09-2014 1:30;28-09-2014 1:30;28-09-2014 1:45;28-09-2014 2:24;;120;;3;18;Si;Si;No
